run_date,status,union_hits,per_form,new_document_ids,dropped_document_ids,validate,build_check,note
2026-08-17,NO_CHANGE,102,abbrev=41 spelled_out=36 frcp_acronym=6 frcp_periods=8 report_phrase=13 abbrev_no_spaces=41 long_form=0,,,PASS,PASS,"baseline established, no prior state to diff against"
2026-08-21,BACKFILL_PAUSED,0,,,,,,"53 of 128 form-hits decided by rule or verified quote; no category exceeded the hand triage's totals; 101 of 121 documents were never read, so the comparison is not valid. The run stopped because the account's daily allowance ran out, not because anything is wrong with it; a slot frees in 59433s (16.5 hours) and the next run picks up where this one left off"
2026-08-22,BACKFILL,0,,,,,,110 of 129 form-hits decided by rule or verified quote; 5 category overruns
2026-08-23,BACKFILL,0,,,,,,"86 of 104 hand-triaged form-hits decided by rule or verified quote, 18 abandoned as unverified that a person had decided; 2 category overruns; 26 form-hits arrived after the baseline of 2026-08-23 and are outside the comparison"
2026-08-24,QUOTA_EXHAUSTED,0,,,,,,"the account's daily CourtListener allowance was spent before this week's sweep could finish; a slot frees in 24148s (6.7 hours). No measurement was recorded, the positive control was NOT evaluated, and the state file is left as it was. This is not a finding about the record or about the search. Something else drew on the same daily pool."
2026-08-31,NEW_DOCUMENTS,139,abbrev=47 spelled_out=68 frcp_acronym=7 frcp_periods=8 report_phrase=17 abbrev_no_spaces=47 long_form=1,482384663 482384664 482384665 482384667 482384668 482384669 482384670 482384671 482384672 482384673 482384674 482384675 482384676 490288186 490528365 490805747 490810835 490810836 490810837 490810838 490810839 490810840 490810841 490810842 490810843 490810844 490810845 490810846 490810847 490810848 490810849 490810850 490958050 491084178 491333345 491333644 491696896,,PASS,PASS,"triaged 37 new: noise 1, non_mdl 1, post_effective_mdl 20, pre_effective_mdl 1, unverified 14; search log NOT updated (37 document(s) held pending and still counted as new next week): 86 of 104 hand-triaged form-hits decided by rule or verified quote, 18 abandoned as unverified that a person had decided; 2 category overruns; 26 form-hits arrived after the baseline of 2026-08-23 and are outside the comparison"
2026-09-01,BACKFILL_PAUSED,0,,,,,,"88 of 104 hand-triaged form-hits decided by rule or verified quote, 16 abandoned as unverified that a person had decided; 2 category overruns; 43 form-hits arrived after the baseline of 2026-08-23 and are outside the comparison; 124 of 139 documents were never read, so the comparison is not valid. The run stopped because the account's daily allowance ran out, not because anything is wrong with it; a slot frees in 38866s (10.8 hours) and the next run picks up where this one left off"
2026-09-02,BACKFILL_PAUSED,0,,,,,,"92 of 104 hand-triaged form-hits decided by rule or verified quote, 12 abandoned as unverified that a person had decided; 2 category overruns; 43 form-hits arrived after the baseline of 2026-08-23 and are outside the comparison; 110 of 139 documents were never read, so the comparison is not valid. The run stopped because the account's daily allowance ran out, not because anything is wrong with it; a slot frees in 62750s (17.4 hours) and the next run picks up where this one left off"
2026-09-03,BACKFILL_PAUSED,0,,,,,,"92 of 104 hand-triaged form-hits decided by rule or verified quote, 12 abandoned as unverified that a person had decided; 2 category overruns; 44 form-hits arrived after the baseline of 2026-08-23 and are outside the comparison; 97 of 140 documents were never read, so the comparison is not valid. The run stopped because the account's daily allowance ran out, not because anything is wrong with it; a slot frees in 62783s (17.4 hours) and the next run picks up where this one left off"
