document_id,first_seen,forms,category,method,rule,mdl_no,docket_id,rules_version,no_text_layer,escalate,evidence
472234065,2026-08-15,abbrev abbrev_no_spaces,noise,RULE,R2,,,,,,no literal '16.1' in the document or the docket entry
472746521,2026-08-15,abbrev abbrev_no_spaces,noise,RULE,R2,,,,,,no literal '16.1' in the document or the docket entry
472850310,2026-08-15,spelled_out,pre_effective_mdl,RULE,R5,3108,,,,,CASE 0:24-md-03108-DWF-DJF Doc. 540 Filed 03/19/26 Page 1 of 1 UNITED STATES DISTRICT COURT
472885879,2026-08-15,abbrev abbrev_no_spaces,noise,RULE,R2,,,,,,no literal '16.1' in the document or the docket entry
473273019,2026-08-15,abbrev abbrev_no_spaces,noise,RULE,R2,,,,,,no literal '16.1' in the document or the docket entry
473684030,2026-08-15,spelled_out,post_effective_mdl,RULE,R5,3175,,,,,"ORDER Member cases: 25-cv-946-jdp, 25-cv-1016-jdp, 26-cv-102-jdp, 26-md-3175-jdp 26-cv-138-jdp, 26-cv-139-jdp, 26-cv-140-jdp, 26-cv-155-jdp, 26-cv-156-jdp, 26-cv-157-jdp, 26-cv-158-jdp,"
473684046,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684030 (sha1 1a147012ed8a)
473684056,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684046 (sha1 1a147012ed8a)
473684065,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684056 (sha1 1a147012ed8a)
473684070,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684065 (sha1 1a147012ed8a)
473684076,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684070 (sha1 1a147012ed8a)
473684083,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684076 (sha1 1a147012ed8a)
473684090,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684083 (sha1 1a147012ed8a)
473684094,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684090 (sha1 1a147012ed8a)
473684100,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684094 (sha1 1a147012ed8a)
473684106,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684100 (sha1 1a147012ed8a)
473684113,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684106 (sha1 1a147012ed8a)
473684117,2026-08-15,spelled_out,post_effective_mdl,RULE,R1,3175,,,,,identical to document 473684113 (sha1 1a147012ed8a)
474383793,2026-08-15,abbrev abbrev_no_spaces,noise,RULE,R2,,,,,,no literal '16.1' in the document or the docket entry
474908391,2026-08-15,abbrev abbrev_no_spaces,noise,RULE,R2,,,,,,no literal '16.1' in the document or the docket entry
475500749,2026-08-15,spelled_out,noise,RULE,R2,,,,,,no literal '16.1' in the document or the docket entry
476107815,2026-08-15,spelled_out,post_effective_mdl,RULE,R5,3174,,,,,Case 2:26-md-03174-JLR Document 4 Filed 04/16/26 Page 1 of 3 1 2 3 4 5 6 7 UNITED STATES DISTRICT COURT
476134119,2026-08-15,abbrev abbrev_no_spaces,noise,RULE,R2,,,,,,no literal '16.1' in the document or the docket entry
476134136,2026-08-15,abbrev abbrev_no_spaces,noise,RULE,R2,,,,,,no literal '16.1' in the document or the docket entry
476285507,2026-08-15,spelled_out,post_effective_mdl,RULE,R5,3174,,,,,"WESTERN DISTRICT OF WASHINGTON 8 AT SEATTLE 9 10 IN RE: AIR CRASH AT MUAN CASE NO. MDL 3174 INTERNATIONAL AIRPORT, 11 SOUTH KOREA ON DECEMBER ORDER RE: INITIAL CASE"
476945490,2026-08-15,abbrev abbrev_no_spaces,pre_effective_mdl,RULE,R5,3084,,,,,Case 3:23-md-03084-CRB Document 5978-2 Filed 04/23/26 Page 1 of 44 1 [Submitting Counsel on Signature Page] 2 3 4 5 6 7 8 9 10 1
476945536,2026-08-15,abbrev abbrev_no_spaces,pre_effective_mdl,RULE,R5,3084,,,,,Case 3:23-md-03084-CRB Document 5979 Filed 04/23/26 Page 1 of 44 1 [Submitting Counsel on Signature Page] 2 3 4 5 6 7 8 9 10 11
477163526,2026-08-15,abbrev abbrev_no_spaces,non_mdl,RULE,R7,,,,,,Case 2:26-cv-01564-JKS-JBC Document 6 Filed 04/27/26 Page 1 of 5 PageID: 51 UNITED STATES DISTRICT COURT
477258871,2026-08-15,frcp_acronym,post_effective_mdl,RULE,R5,3175,,,YES,,"alina Torres, John P Ryan, Jr, Birchmans Parisian, LLC, Gloria Emery, Carol Goldberg, Casey Whalen, India Price, Lakia Session, Karen Solomon Associated Cases: 3:26-md-03175-jdp et al. (Burke, Christopher) (Entered: 04/27/2026)"
477258873,2026-08-15,frcp_acronym,post_effective_mdl,RULE,R5,3175,,,YES,,"alina Torres, John P Ryan, Jr, Birchmans Parisian, LLC, Gloria Emery, Carol Goldberg, Casey Whalen, India Price, Lakia Session, Karen Solomon Associated Cases: 3:26-md-03175-jdp et al. (Burke, Christopher) (Entered: 04/27/2026)"
477258878,2026-08-15,frcp_acronym,post_effective_mdl,RULE,R5,3175,,,YES,,"alina Torres, John P Ryan, Jr, Birchmans Parisian, LLC, Gloria Emery, Carol Goldberg, Casey Whalen, India Price, Lakia Session, Karen Solomon Associated Cases: 3:26-md-03175-jdp et al. (Burke, Christopher) (Entered: 04/27/2026)"
477609302,2026-08-15,spelled_out,unverified,RULE,R8,,,,,names the federal rule but no docket number of any kind,ment conference. The Joint Status Report shall briefly summarize the parties’ positions on each dispute. 4. EARLY DISCOVERY—As contemplated by Federal Rule of Civil Procedure 16.1 and its committee notes—and as is proper and proportional here—the parties may conduct limited Early Discovery during the
478194520,2026-08-15,abbrev abbrev_no_spaces,noise,RULE,R3,,,,,,"aintiff”), by and through undersigned counsel, respectfully moves this Court, pursuant to Federal Rule of Civil Procedure 16 and Eastern District of Michigan Local Rule 16.1(b), for entry of a scheduling order and for the Court to set a Rule 16 conference to address case management and the orderly progression of th"
478360473,2026-08-15,report_phrase,unverified,RULE,R4,,,,,names 16.1 but no federal naming form and no local-rule marker,"Defendants in Shell Eggs respectfully submit that Cheesecake Funk and Philly Phlava should be consolidated in the Shell Eggs action. In their Rule 16.1 report, the current parties proposed that, to eliminate delays associated with the transfer of cases filed in or removed from other federal district court"
478360480,2026-08-15,report_phrase,unverified,RULE,R4,,,,,names 16.1 but no federal naming form and no local-rule marker,"Defendants in Shell Eggs respectfully submit that Cheesecake Funk and Philly Phlava should be consolidated in the Shell Eggs action. In their Rule 16.1 report, the current parties proposed that, to eliminate delays associated with the transfer of cases filed in or removed from other federal district court"
478360497,2026-08-15,report_phrase,unverified,RULE,R4,,,,,names 16.1 but no federal naming form and no local-rule marker,"Defendants in Shell Eggs respectfully submit that Cheesecake Funk and Philly Phlava should be consolidated in the Shell Eggs action. In their Rule 16.1 report, the current parties proposed that, to eliminate delays associated with the transfer of cases filed in or removed from other federal district court"
478360500,2026-08-15,report_phrase,unverified,RULE,R4,,,,,names 16.1 but no federal naming form and no local-rule marker,"Defendants in Shell Eggs respectfully submit that Cheesecake Funk and Philly Phlava should be consolidated in the Shell Eggs action. In their Rule 16.1 report, the current parties proposed that, to eliminate delays associated with the transfer of cases filed in or removed from other federal district court"
478360503,2026-08-15,report_phrase,unverified,RULE,R4,,,,,names 16.1 but no federal naming form and no local-rule marker,"Defendants in Shell Eggs respectfully submit that Cheesecake Funk and Philly Phlava should be consolidated in the Shell Eggs action. In their Rule 16.1 report, the current parties proposed that, to eliminate delays associated with the transfer of cases filed in or removed from other federal district court"
478360508,2026-08-15,report_phrase,unverified,RULE,R4,,,,,names 16.1 but no federal naming form and no local-rule marker,"Defendants in Shell Eggs respectfully submit that Cheesecake Funk and Philly Phlava should be consolidated in the Shell Eggs action. In their Rule 16.1 report, the current parties proposed that, to eliminate delays associated with the transfer of cases filed in or removed from other federal district court"
478360510,2026-08-15,report_phrase,unverified,RULE,R4,,,,,names 16.1 but no federal naming form and no local-rule marker,"Defendants in Shell Eggs respectfully submit that Cheesecake Funk and Philly Phlava should be consolidated in the Shell Eggs action. In their Rule 16.1 report, the current parties proposed that, to eliminate delays associated with the transfer of cases filed in or removed from other federal district court"
478360511,2026-08-15,report_phrase,unverified,RULE,R4,,,,,names 16.1 but no federal naming form and no local-rule marker,"Defendants in Shell Eggs respectfully submit that Cheesecake Funk and Philly Phlava should be consolidated in the Shell Eggs action. In their Rule 16.1 report, the current parties proposed that, to eliminate delays associated with the transfer of cases filed in or removed from other federal district court"
